stream,temperature,conductivity,doc,pH,discharge,target
Oficina,1.273001272,1.73239376,0.828659897,0.757396029,-1.987162775,1
Oficina,1.311117843,1.633468456,0.804139432,0.733999287,-1.723538196,1
Oficina,1.327971624,1.681241237,0.705863712,0.773786445,-2.075720714,1
Oficina,1.302330929,1.612783857,0.777426822,0.762678564,-1.661543506,1
Oficina,1.342422681,1.612783857,0.662757832,0.781755375,-1.732821927,1
Oficina,1.318063335,1.568201724,0.822168079,0.788168371,-1.804100348,1
SCAetano,1.339451441,1.322219295,0.591064607,0.705007959,-2.76700389,1
SCAetano,1.36267093,1.079181246,0.526339277,0.549003262,-2.671620397,1
SCAetano,1.388633969,1.230448921,0.428134794,0.72427587,-2.749579998,1
SCAetano,1.322012439,1.322219295,0.404833717,0.699837726,-2.806875402,1
Carandai,1.243534102,1.414973348,0.752816431,0.725094521,-2.517126416,1
Carandai,1.34849957,1.230448921,0.797267541,0.679427897,-1.149353765,1
Carandai,1.321184027,1.505149978,0.615950052,0.680335513,-2.305394801,1
Carandai,1.281033367,1.568201724,0.526339277,0.767897616,-2.025061148,1
Carandai,1.351603072,1.397940009,1.494154594,0.687528961,-1.744727495,1
Carandai,1.310693312,1.301029996,0.867467488,0.781036939,-0.91721463,1
Agua Limpa,1.391993072,1.505149978,0.876794976,0.72427587,-0.943095149,1
Agua Limpa,1.342027688,1.079181246,0.8876173,0.761927838,-0.68613278,1
Agua Limpa,1.379849179,1,0.845718018,0.767897616,-0.675717545,1
Agua Limpa,1.401745082,1,0.770852012,0.737987326,-0.380906669,1
Agua Limpa,1.369215857,1,0.380211242,0.717670503,-0.70333481,1
Agua Limpa,1.367355921,0.903089987,0.91750551,0.797267541,-0.08249449,1
Prados,1.292256071,2.307496038,0.324282455,0.790285164,-1.283162277,2
Prados,1.283301229,2.527629901,-0.318758763,0.804139432,-1.455931956,2
Prados,1.306210508,2.245512668,-0.107905397,0.780317312,-1.173925197,2
Prados,1.3287872,2.315970345,-0.065501549,0.786751422,-1.397940009,2
Prados,1.311117843,2.33243846,-0.070581074,0.782472624,-1.185086819,2
Prados,1.305781151,2.235528447,-0.142667504,0.831229694,-1.287350298,2
Rit,1.322839273,2.053078443,-0.036212173,0.792391689,-2.13667714,2
Rit,1.333447274,2.08278537,0.733197265,0.78604121,-2.124938737,2
Rit,1.34869419,1.986771734,0.012837225,0.748188027,-2.075720714,2
Rit,1.380934463,1.963787827,0.318063335,0.737987326,-1.958607315,2
Rit,1.331832044,1.826074803,0.079181246,0.77524626,-1.821023053,2
